Animal,Date,Weeks Post Infection,Weeks Post Transplant,WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
A11200,2/1/13,-4.99,-65.85,3,5.17,10,32.5,63,19.4,30.8,661,13,7.3,38.5,54.6,5.8,0.6,0.5,1.2,1.6,0.2,0,0,81.6,37.1,40.5,1,15.1,66.6,38.1,24.8,16.7,-,-,-,-,1337,608,663,16,247,1091,624,406,274,-,-,-,-
A11200,2/8/13,-3.99,-64.85,4.5,5.59,10.7,35.2,63,19.2,30.4,432,13.7,7.6,21.6,72.3,4.8,0.6,0.7,1,3.3,0.2,0,0,79.3,39,38.9,1.4,19.3,68.6,40.3,26.2,14.1,-,-,-,-,2580,1269,1266,46,628,2232,1311,852,459,-,-,-,-
A11200,2/15/13,-3.01,-63.86,3.6,5.5,10.6,34.4,62,19.2,30.8,427,13.9,7.7,35.2,58.5,4.8,0.8,0.7,1.3,2.1,0.2,0,0,81.4,39,39.3,0.7,17.7,69.8,39.8,25.8,14.2,-,-,-,-,1714,821,828,15,373,1470,838,543,299,-,-,-,-
A11200,2/21/13,-2.14,-63,7.7,5.84,11.2,36.1,62,19.1,30.9,419,13.3,8.1,49.2,42.2,7,1.1,0.5,3.8,3.2,0.5,0.1,0,82.5,41.4,39.8,1.7,15.7,73,43,28,13.5,-,-,-,-,2681,1345,1293,55,510,2372,1397,910,439,-,-,-,-
A11200,3/1/13,-1,-61.85,3.8,5.55,10.5,34.5,62,19,30.5,483,13.7,7.4,22.1,72,4.5,0.8,0.6,0.8,2.7,0.2,0,0,81,39.6,40.3,1.1,16.6,71.9,40.7,28.3,13.2,-,-,-,-,2216,1083,1103,30,454,1967,1114,774,361,-,-,-,-
A11200,3/8/13,0,-60.85,4.1,5.86,11.1,36.3,62,18.9,30.5,529,13.3,7.8,32.5,62.2,3.9,0.5,0.9,1.3,2.6,0.2,0,0,82,39.1,39,0.9,16.9,68.6,40,25.7,14.2,-,-,-,-,2091,997,995,23,431,1749,1020,655,362,-,-,-,-
A11200,3/12/13,0.58,-60.27,4.8,5.92,11.1,36.2,61,18.7,30.5,376,13.2,7.7,35.1,55.1,8.7,0.6,0.5,1.7,2.6,0.4,0,0,84.8,40.2,39,3.2,15,79.3,43.5,35.3,6.9,-,-,-,-,2243,1063,1031,85,397,2097,1150,934,182,-,-,-,-
A11200,3/15/13,0.99,-59.87,3.1,5.44,10.4,33,61,19.1,31.4,284,14,7.8,29.2,51.2,18.7,0.5,0.4,0.9,1.6,0.6,0,0,85,46,35.6,1.3,14.2,78.2,47.3,28.2,8.8,-,-,-,-,1349,730,565,21,225,1241,751,448,140,-,-,-,-
A11200,3/22/13,1.99,-58.87,3.8,5.45,10.2,33,61,18.8,31,392,14.4,8.1,16.3,67.6,14.1,0.8,1.2,0.6,2.6,0.5,0,0,87.2,39.5,43.3,1.3,11.9,76.7,40.8,33,11.6,-,-,-,-,2240,1015,1112,33,306,1970,1048,848,298,-,-,-,-
A11200,3/28/13,2.85,-58,8.6,5.66,10.9,34.8,61,19.3,31.4,318,13.3,10,47.4,37.7,11.3,2.7,0.9,4.1,3.2,1,0.2,0.1,88.7,33.2,49.2,1.3,10.7,76.7,34.5,39.1,11.4,-,-,-,-,2876,1076,1595,42,347,2487,1119,1268,370,-,-,-,-
A11200,4/5/13,4.01,-56.85,3.8,5.62,10.7,34.2,61,19,31.2,497,14.6,7.6,35.6,55.7,7.1,1.1,0.5,1.4,2.1,0.3,0,0,81.3,42.8,36.8,0.7,16.7,75.5,43.4,28.2,9.2,-,-,-,-,1721,906,779,15,353,1598,919,597,195,-,-,-,-
