Animal,Date,Weeks Post Infection,"Weeks Post ""Transplant""",WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
A11201,02/01/13,-4.99,-65.85,4.6,5.85,11.3,37.1,63,19.2,30.3,230,11.7,10.0,39.6,50.7,8.4,0.8,0.5,1.8,2.3,0.4,0.0,0.0,83.0,40.9,37.7,1.6,13.2,74.2,42.6,29.3,10.1,-,-,-,-,1936,954,879,37,308,1730,994,683,236,-,-,-,-
A11201,02/08/13,-3.99,-64.85,6.8,5.89,11.4,37.9,64,19.3,30.0,337,12.3,9.1,38.5,50.5,9.3,1.3,0.4,2.6,3.4,0.6,0.1,0.0,82.3,38.1,41.3,2.3,13.9,75.2,40.4,33.2,10.4,-,-,-,-,2826,1308,1418,79,477,2582,1387,1140,357,-,-,-,-
A11201,02/15/13,-3.01,-63.86,5.9,5.79,11.3,36.8,64,19.5,30.7,358,13.2,9.1,45.7,44.7,7.5,1.5,0.6,2.7,2.6,0.4,0.1,0.0,87.1,37.8,42.2,1.4,12.3,74.2,39.3,31.9,11.7,-,-,-,-,2297,997,1113,37,324,1957,1036,841,309,-,-,-,-
A11201,02/21/13,-2.14,-63.00,6.6,5.84,11.4,36.6,63,19.5,31.0,362,13.2,9.2,34.8,54.1,8.0,2.5,0.6,2.3,3.6,0.5,0.2,0.0,83.4,36.4,43.6,2.3,12.8,75.7,38.6,35.5,10.4,-,-,-,-,2978,1300,1557,82,457,2703,1378,1268,371,-,-,-,-
A11201,03/01/13,-1.00,-61.85,7.0,5.84,11.2,36.6,63,19.2,30.6,454,13.3,9.2,46.2,42.3,8.5,2.5,0.5,3.2,3.0,0.6,0.2,0.0,86.4,38.3,45.1,1.8,9.3,74.8,40.0,33.1,13.8,-,-,-,-,2558,1134,1335,53,275,2215,1184,980,409,-,-,-,-
A11201,03/08/13,0.00,-60.85,8.1,5.86,11.3,36.9,63,19.2,30.5,387,13.1,9.6,53.0,39.4,6.0,1.0,0.6,4.3,3.2,0.5,0.1,0.0,88.0,38.4,43.4,1.6,11.6,75.0,40.0,32.7,12.3,-,-,-,-,2808,1225,1385,51,370,2394,1277,1044,393,-,-,-,-
A11201,03/12/13,0.58,-60.27,6.4,6.04,11.6,37.7,62,19.2,30.8,317,13.3,9.2,40.0,47.9,10.4,1.2,0.5,2.6,3.1,0.7,0.1,0.0,82.5,41.5,37.4,1.5,16.9,73.1,43.1,28.2,10.8,-,-,-,-,2529,1272,1147,46,518,2241,1321,864,331,-,-,-,-
A11201,03/15/13,0.99,-59.87,5.9,5.92,11.6,37.0,63,19.5,31.2,298,13.5,9.3,51.2,34.3,12.9,1.2,0.4,3.0,2.0,0.8,0.1,0.0,90.2,44.7,34.8,5.0,9.5,84.9,49.8,35.3,4.5,-,-,-,-,1825,905,704,101,192,1718,1008,714,91,-,-,-,-
A11201,03/22/13,1.99,-58.87,5.8,5.76,11.0,36.1,63,19.1,30.4,256,14.1,9.9,38.5,44.0,15.2,1.5,0.8,2.2,2.6,0.9,0.1,0.0,93.0,39.0,47.0,3.2,6.9,84.7,42.3,41.2,9.0,-,-,-,-,2373,995,1199,82,176,2162,1079,1051,230,-,-,-,-
A11201,03/28/13,2.85,-58.00,4.6,5.48,10.4,33.2,61,18.9,31.2,535,13.4,7.8,39.3,53.0,5.8,1.2,0.7,1.8,2.4,0.3,0.1,0.0,83.9,37.3,42.4,0.6,15.0,72.6,38.0,30.8,12.1,-,-,-,-,2045,909,1034,15,366,1770,926,751,295,-,-,-,-
