,Z09087,Z09106,Z09192,Z09204,Z09144,Z08214,A11200,Z09196
80,77.0,,,,,,,
81,78.0,,,,78.0,,,
82,79.0,,,,79.0,,,
83,80.0,,,,80.0,,,
84,81.0,,,,81.0,,,
85,81.4,,,,81.4,,,
86,81.7,81.7,,,81.7,,,
87,82.0,82.0,,82.0,82.0,,,82.0
88,83.0,83.0,83.0,83.0,83.0,83.0,,83.0
89,84.0,84.0,84.0,84.0,84.0,84.0,,84.0
90,85.0,85.0,85.0,85.0,85.0,85.0,,85.0
91,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
92,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
93,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
94,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
95,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
96,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
97,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
98,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
99,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
100,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
101,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
102,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
103,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
104,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
105,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
106,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
107,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
108,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
