Animal,Date,Weeks Post Infection,"Weeks Post ""Transplant""",WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09106,11/01/12,-6.14,5887.80,5.3,6.22,11.5,38.3,62,18.5,30.0,604,16.4,7.7,23.6,67.1,8.2,0.7,0.4,1.3,3.6,0.4,0.0,0.0,85.1,20.3,58.4,0.9,11.0,75.5,21.2,47.5,11.8,-,-,-,-,3026,722,2077,32,391,2685,754,1689,420,-,-,-,-
Z09106,11/09/12,-4.98,5888.97,7.2,5.79,10.9,35.5,61,18.8,30.6,696,15.4,7.6,45.8,42.8,10.2,0.6,0.6,3.3,3.1,0.7,0.0,0.0,86.3,25.3,54.7,0.7,9.0,75.6,26.0,43.2,12.3,-,-,-,-,2659,780,1686,22,277,2330,801,1331,379,-,-,-,-
Z09106,11/16/12,-4.00,5889.95,12.1,5.98,11.3,37.7,63,18.8,29.9,748,15.8,7.4,65.4,29.1,4.2,0.7,0.6,7.9,3.5,0.5,0.1,0.1,88.0,19.3,59.2,0.5,10.6,68.0,19.8,42.0,18.7,-,-,-,-,3099,680,2084,18,373,2394,697,1479,658,-,-,-,-
Z09106,11/30/12,-2.00,5891.94,8.4,5.78,11.2,37.1,64,19.4,30.3,662,13.7,7.6,40.3,49.5,8.9,0.5,0.8,3.4,4.2,0.7,0.0,0.1,87.6,19.6,62.3,0.6,8.5,70.5,20.2,44.2,18.8,-,-,-,-,3642,815,2590,25,353,2931,840,1838,782,-,-,-,-
Z09106,12/07/12,-0.99,5892.95,5.2,5.88,11.3,38.2,65,19.2,29.5,614,12.7,7.8,23.6,70.3,4.8,0.4,0.9,1.2,3.7,0.2,0.0,0.0,89.0,19.9,58.2,0.8,10.2,72.8,20.7,45.1,13.9,-,-,-,-,3253,727,2128,29,373,2661,757,1649,508,-,-,-,-
Z09106,12/14/12,0.00,5893.95,5.0,5.65,11.2,36.0,64,19.9,31.1,587,12.7,7.9,34.9,57.7,6.2,0.6,0.6,1.7,2.9,0.3,0.0,0.0,88.7,22.0,55.0,0.6,10.2,70.3,22.4,41.1,16.1,-,-,-,-,2559,635,1587,17,294,2028,646,1186,464,-,-,-,-
Z09106,12/18/12,0.58,5894.52,7.6,5.45,10.8,34.9,64,19.9,31.1,555,12.5,7.8,38.8,53.6,6.8,0.4,0.4,2.9,4.1,0.5,0.0,0.0,88.1,21.8,56.1,0.5,11.3,74.0,22.3,43.3,13.2,-,-,-,-,3589,888,2285,20,460,3014,908,1764,538,-,-,-,-
Z09106,12/21/12,1.01,5894.95,4.2,5.37,10.7,34.2,64,19.9,31.2,466,13.0,8.1,49.7,38.1,11.5,0.3,0.4,2.1,1.6,0.5,0.0,0.0,90.8,22.3,54.6,0.5,8.0,71.2,22.8,40.7,14.9,-,-,-,-,1453,357,874,8,128,1139,365,651,238,-,-,-,-
Z09106,12/28/12,2.00,5895.94,3.1,5.34,10.6,33.5,63,19.8,31.6,387,12.6,9.1,19.6,55.9,22.0,0.8,1.7,0.6,1.7,0.7,0.0,0.1,93.4,15.9,68.4,0.3,5.5,77.3,16.2,52.5,15.7,-,-,-,-,1619,276,1185,5,95,1340,281,910,272,-,-,-,-
Z09106,01/03/13,2.86,5896.80,5.4,5.43,10.6,34.4,63,19.5,30.8,490,12.6,8.1,22.7,62.1,13.3,0.6,1.3,1.2,3.4,0.7,0.0,0.1,83.8,19.0,60.4,0.3,10.4,74.2,19.2,48.2,12.5,-,-,-,-,2810,637,2025,10,349,2488,644,1616,419,-,-,-,-
