Animal,Date,Weeks Post Infection,Weeks Post Transplant,WBC (Thou/ul),RBC (mil/ul),HGB    (G/dl),HCT        (%),MCV        (fl),MCH       (pg),MCHC (g/dL),PLT (Thou/ul),RDW (%),MPV (fl),Neut (%),Lymph (%),Mono (%),Eos (%),Baso (%),Neut (Thou/ul),Lymph (Thou/ul),Mono (Thou/ul),Eos (Thou/ul),Baso (Thou/ul),CD2+      (%),CD4+ / CD8- (%),CD8+ / CD4- (%),CD4+ / CD8+ (%),CD20+    (%),CD3+      (%),CD4+ / CD3+ (%),CD8+ / CD3+ (%),CD8+ / CD3- (%),CD4+ / CCR5-        (%),CD4+ / CCR5+     (%),CD4- / CCR5+     (%),Total CCR5+     (%),CD2+ (Cells/ul),CD4+ / CD8- (Cells/ul),CD8+ / CD4- (Cells/ul),CD4+ / CD8+ (Cells/ul),CD20+ (Cells/ul),CD3+ (Cells/ul),CD4+ / CD3+ (Cells/ul),CD8+ / CD3+ (Cells/ul),CD8+ / CD3- (Cells/ul),CD4+ / CCR5-        (Cells/ul),CD4+ / CCR5+     (Cells/ul),CD4- / CCR5+      (Cells/ul),Total CCR5+       (Cells/ul)
Z09196,03/07/13,-5.16,-62.00,5.8,6.10,11.4,37.4,61,18.7,30.5,446,12.4,7.0,51.8,39.3,7.3,1.0,0.6,3.0,2.3,0.4,0.1,0.0,83.9,32.0,48.7,2.4,12.3,68.3,34.4,31.4,19.7,-,-,-,-,1912,729,1110,55,280,1557,784,716,449,-,-,-,-
Z09196,03/15/13,-4.03,-60.87,4.7,5.77,10.7,34.7,60,18.6,30.9,497,12.1,7.3,42.7,47.1,8.1,1.4,0.7,2.0,2.2,0.4,0.1,0.0,88.2,40.3,43.7,2.6,11.9,78.1,42.9,33.2,13.1,-,-,-,-,1952,892,967,58,263,1729,950,735,290,-,-,-,-
Z09196,03/22/13,-3.03,-59.87,6.0,6.18,11.3,37.5,61,18.2,30.1,469,12.9,7.6,37.3,52.7,7.4,2.1,0.5,2.2,3.2,0.4,0.1,0.0,87.0,35.3,48.7,2.5,13.2,72.4,37.8,32.8,18.3,-,-,-,-,2751,1116,1540,79,417,2289,1195,1037,579,-,-,-,-
Z09196,03/29/13,-2.02,-58.86,4.3,6.12,11.2,36.8,60,18.3,30.5,452,12.8,7.6,48.0,41.5,8.8,1.2,0.5,2.1,1.8,0.4,0.1,0.0,87.9,37.0,44.0,2.6,11.9,72.2,39.6,30.3,16.4,-,-,-,-,1569,660,785,46,212,1288,707,541,293,-,-,-,-
Z09196,04/05/13,-1.01,-57.85,4.7,6.09,11.3,36.5,60,18.6,31.0,431,12.8,8.2,42.5,49.3,6.1,1.7,0.4,2.0,2.3,0.3,0.1,0.0,83.6,30.2,51.4,2.5,13.4,67.8,32.7,33.0,20.9,-,-,-,-,1937,700,1191,58,310,1571,758,765,484,-,-,-,-
Z09196,04/12/13,0.00,-56.84,3.5,5.82,10.7,34.8,60,18.5,30.9,459,12.8,7.8,36.4,51.4,9.4,2.3,0.5,1.3,1.8,0.3,0.1,0.0,81.3,36.6,43.4,3.2,15.6,71.9,39.8,30.6,16.0,-,-,-,-,1463,658,781,58,281,1293,716,550,288,-,-,-,-
Z09196,04/16/13,0.53,-56.31,4.4,6.11,11.1,36.2,59,18.2,30.8,402,12.9,6.9,36.9,48.7,11.2,1.4,1.8,1.6,2.1,0.5,0.1,0.1,85.1,35.4,46.6,2.3,15.0,74.2,37.7,33.7,15.2,-,-,-,-,1824,759,999,49,321,1590,808,722,326,-,-,-,-
Z09196,04/19/13,0.99,-55.85,2.5,5.71,10.6,33.6,59,18.6,31.6,262,13.4,6.8,42.9,36.4,18.1,2.1,0.5,1.1,0.9,0.5,0.1,0.0,85.3,40.7,41.1,2.9,9.5,79.1,44.0,31.9,12.1,-,-,-,-,776,370,374,26,86,720,400,290,110,-,-,-,-
Z09196,04/26/13,1.98,-54.86,5.4,5.80,10.7,34.5,60,18.5,31.0,330,13.9,7.9,32.8,40.0,24.5,0.8,1.9,1.8,2.2,1.3,0.0,0.1,94.1,23.7,64.9,1.3,6.1,73.8,25.0,45.9,20.3,-,-,-,-,2033,512,1402,28,132,1594,540,991,438,-,-,-,-
Z09196,05/02/13,2.84,-54.00,5.8,5.39,9.9,32.1,59,18.3,30.8,476,14.2,7.0,37.6,46.8,12.8,1.5,1.3,2.2,2.7,0.7,0.1,0.1,84.5,33.3,50.5,1.5,13.9,71.9,34.8,35.1,16.9,-,-,-,-,2294,904,1371,41,377,1952,945,953,459,-,-,-,-
Z09196,05/10/13,4.00,-52.84,6.0,5.56,10.2,32.7,59,18.3,31.1,437,13.6,7.3,63.9,27.2,7.2,0.9,0.8,3.8,1.6,0.4,0.1,0.0,80.1,29.9,48.4,1.8,14.4,67.8,31.7,34.0,16.2,-,-,-,-,1307,488,790,29,235,1106,517,555,264,-,-,-,-
Z09196,05/17/13,4.99,-51.85,6.5,5.88,10.6,34.5,59,18.0,30.8,443,13.7,6.9,53.0,35.5,9.1,1.8,0.6,3.4,2.3,0.6,0.1,0.0,81.8,29.4,50.4,2.3,12.7,72.2,31.6,39.3,13.5,-,-,-,-,1888,678,1163,53,293,1666,729,907,312,-,-,-,-
Z09196,05/24/13,5.99,-50.85,5.3,5.95,10.8,35.0,59,18.1,30.8,382,14.6,6.9,39.6,46.7,11.0,1.8,0.9,2.1,2.5,0.6,0.1,0.0,75.3,27.9,45.8,2.5,15.7,66.9,30.3,35.4,13.0,-,-,-,-,1864,691,1134,62,389,1656,750,876,322,-,-,-,-
Z09196,05/31/13,7.00,-49.84,6.2,6.02,10.8,34.5,57,17.9,31.2,425,13.7,7.3,2.4,35.5,59.2,0.4,2.5,0.1,2.2,3.7,0.0,0.2,70.2,29.2,39.5,1.4,20.9,63.6,30.4,30.3,10.7,-,-,-,-,1545,643,869,31,460,1400,669,667,236,-,-,-,-
Z09196,06/07/13,7.98,-48.86,3.2,5.24,9.4,30.4,58,17.9,30.9,371,14.6,6.3,26.7,60.4,10.5,1.9,0.5,0.9,1.9,0.3,0.1,0.0,78.4,34.3,45.1,2.3,18.2,72.6,36.5,35.4,12.0,32.5,4.1,15.0,19.1,1515,663,872,44,352,1403,705,684,232,628,79,290,369
Z09196,06/14/13,8.99,-47.85,3.2,5.38,9.7,31.3,58,18.1,31.1,487,14.9,6.7,38.4,48.8,10.9,1.1,0.8,1.2,1.6,0.3,0.0,0.0,79.7,37.3,40.3,2.2,19.0,74.6,39.4,33.9,8.6,36.0,3.4,14.9,18.3,1245,582,629,34,297,1165,615,529,134,562,53,233,286
Z09196,06/21/13,9.99,-46.85,3.6,5.76,10.4,34.0,59,18.0,30.5,464,13.7,6.5,26.6,59.3,12.0,1.2,0.9,1.0,2.1,0.4,0.0,0.0,79.4,28.5,47.6,1.7,15.8,69.2,30.2,36.9,12.5,27.6,2.6,12.5,15.1,1695,608,1016,36,337,1477,645,788,267,589,56,267,322
Z09196,06/27/13,10.84,-46.00,4.3,5.83,10.5,34.0,58,18.0,31.0,371,14.1,6.8,45.1,43.1,10.3,0.6,0.9,1.9,1.9,0.4,0.0,0.0,81.8,30.5,48.0,1.8,13.7,71.6,32.2,37.3,12.5,30.1,2.2,8.3,10.5,1516,565,890,33,254,1327,597,691,232,558,41,154,195
Z09196,07/05/13,11.98,-44.86,5.2,5.65,10.3,33.3,59,18.3,31.0,481,14.3,6.4,56.5,33.6,8.2,0.9,0.8,2.9,1.7,0.4,0.0,0.0,74.5,27.3,45.5,2.4,15.3,65.7,29.5,34.6,13.2,26.8,2.9,10.7,13.6,1302,477,795,42,267,1148,515,605,231,468,51,187,238
Z09196,07/12/13,12.99,-43.85,4.9,6.06,11.0,35.8,59,18.1,30.6,424,14.8,6.8,50.3,38.2,8.5,2.5,0.5,2.5,1.9,0.4,0.1,0.0,76.5,28.2,48.0,1.6,18.1,68.0,29.6,35.9,13.8,27.6,2.1,9.7,11.8,1432,528,898,30,339,1273,554,672,258,517,39,182,221
Z09196,07/19/13,13.98,-42.86,4.4,5.85,11.0,35.3,60,18.8,31.1,471,14.2,7.3,52.2,35.4,8.4,3.1,0.9,2.3,1.6,0.4,0.1,0.0,84.0,29.5,50.5,1.7,13.0,73.0,31.2,39.2,13.0,28.6,2.6,10.8,13.4,1308,459,787,26,202,1137,486,611,202,445,40,168,209
Z09196,07/26/13,14.99,-41.85,3.1,5.73,10.8,34.9,61,18.8,30.9,462,14.2,6.7,48.3,39.7,7.9,3.3,0.8,1.5,1.2,0.2,0.1,0.0,82.0,36.8,40.6,1.6,18.1,71.1,37.9,30.4,11.8,34.2,3.9,12.1,16.0,1009,453,500,20,223,875,466,374,145,421,48,149,197
Z09196,08/09/13,17.00,-39.84,4.2,5.87,11.5,36.4,62,19.5,31.5,397,13.9,6.8,53.1,36.9,6.6,2.6,0.8,2.2,1.5,0.3,0.1,0.0,78.2,32.5,42.8,1.7,17.3,69.7,34.1,32.5,11.9,31.1,3.1,8.9,12.0,1212,504,663,26,268,1080,528,504,184,482,48,138,186
Z09196,08/23/13,18.99,-37.85,4.7,5.92,11.6,37.0,63,19.6,31.4,353,14.1,7.0,42.7,43.1,10.8,2.4,1.0,2.0,2.0,0.5,0.1,0.0,85.5,29.6,51.7,1.8,14.4,74.9,31.5,41.5,12.0,29.1,2.3,9.1,11.4,1732,600,1047,36,292,1517,638,841,243,589,47,184,231
Z09196,09/06/13,20.99,-35.85,7.1,5.90,11.5,36.8,62,19.5,31.3,318,13.7,6.8,61.9,25.0,9.8,2.7,0.6,4.4,1.8,0.7,0.2,0.0,82.8,31.5,49.4,1.9,12.6,72.3,33.4,36.3,15.0,30.9,2.5,7.9,10.4,1470,559,877,34,224,1283,593,644,266,548,44,140,185
Z09196,09/20/13,22.99,-33.85,5.2,5.88,11.7,37.0,63,19.9,31.6,418,12.9,7.6,43.0,40.8,9.8,5.6,0.8,2.2,2.1,0.5,0.3,0.0,82.7,33.3,43.4,0.2,17.5,72.2,35.4,33.9,11.4,32.5,2.8,10.8,13.7,1755,706,921,4,371,1532,751,719,242,690,59,229,291
Z09196,09/30/13,24.41,-32.43,4.3,5.76,11.5,36.2,63,20.0,31.8,453,12.8,7.0,37.0,51.3,9.4,1.5,0.8,1.6,2.2,0.4,0.1,0.0,83.6,33.8,46.5,2.1,16.4,73.7,36.2,34.8,13.8,32.9,3.0,10.1,13.1,1844,746,1026,46,362,1626,799,768,304,726,66,223,289
Z09196,10/07/13,25.40,-31.44,4.2,5.66,11.5,35.9,63,20.3,32.0,433,12.9,7.2,39.6,48.6,8.0,3.3,0.5,1.7,2.0,0.3,0.1,0.0,83.6,29.6,45.6,1.0,16.7,69.2,30.3,34.1,11.4,27.7,3.3,11.2,14.5,1706,604,931,20,341,1413,618,696,233,565,67,229,296
Z09196,10/16/13,26.71,-30.13,3.6,5.53,11.0,35.4,64,19.9,31.0,451,13.3,7.0,34.3,50.1,13.0,1.9,0.7,1.2,1.8,0.5,0.1,0.0,76.1,32.6,40.5,1.4,21.1,68.2,33.9,30.1,11.7,31.8,2.2,8.6,10.9,1373,588,730,25,381,1230,611,543,211,574,40,155,197
Z09196,10/25/13,27.99,-28.85,8.9,5.37,10.7,34.3,64,19.9,31.2,516,13.3,7.0,79.0,9.0,12.0,0.0,0.0,7.0,0.8,1.1,0.0,0.0,81.2,26.4,44.0,1.3,18.3,55.7,27.7,24.2,20.5,24.0,3.7,10.4,14.1,650,211,352,10,147,446,222,194,164,192,30,83,113
Z09196,11/01/13,28.99,-27.85,8.4,5.18,10.2,32.5,63,19.7,31.4,512,13.1,7.4,41.2,38.1,18.3,1.7,0.7,3.5,3.2,1.5,0.1,0.1,87.0,32.4,46.1,2.0,13.0,73.4,34.3,36.3,11.6,30.5,3.9,12.6,16.5,2784,1037,1475,64,416,2349,1098,1162,371,976,125,403,528
Z09196,11/08/13,29.99,-26.85,4.4,4.80,9.6,30.1,63,20.0,31.8,462,14.1,8.1,58.8,31.9,7.5,1.3,0.5,2.6,1.4,0.3,0.1,0.0,86.0,34.3,43.0,1.8,13.9,69.0,36.1,30.6,13.9,34.9,1.3,4.4,5.6,1207,481,604,25,195,968,507,430,195,490,18,62,79
