,Z09087,Z09106,Z09192,A11201,Z09204,Z09144,Z08214,Z09125,A11200,Z09196,A11213,A11221,A11219,R10155,T10187,R10159,T10173,Z12037,Z12216,Z11151,Z12351,Z12370,Z13133,Z12417,Z12420
2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
3,,,,1409.0,29449.0,,,,7442.0,19424.0,,,,,,,,,,,,,,114549.0,161889.0
4,69956.0,158779.0,161066.0,,,420969.0,52246.0,177698.0,,,2417.0,12765.0,20291.0,24644.0,64442.0,36062.0,938868.0,,,,,,,,
5,1132222.0,7621594.0,10998928.0,417691.0,546250.0,6026033.0,1915324.0,9849907.0,222914.0,515191.0,109975.0,280967.0,2325046.0,2712122.0,1203718.0,3678155.0,2822635.0,27811295.0,10661493.0,12401403.0,8968500.0,7509316.0,55360978.0,1131130.0,1265743.0
6,9928549.0,3394484.0,321130.0,1018638.0,637724.0,20387157.0,11473731.0,8446774.0,2801779.0,373680.0,2298888.0,1220085.0,252186.0,6860076.0,2006024.0,4318015.0,461798.0,32260599.0,50396078.0,73213740.0,34634216.0,,,,
7,676436.0,3179064.0,3476654.0,11705.0,69021.0,3309479.0,2350574.0,1103801.0,21863.0,394746.0,23134.0,63288.0,520003.0,521081.0,836232.0,118854.0,55551.0,500109.0,4655726.0,304475.0,362021.0,2764697.0,5966.0,16876.0,26337.0
8,1051335.0,315320.0,80942.0,2993.0,14783.0,274226.0,1098525.0,96271.0,4211.0,160557.0,2792.0,8359.0,140054.0,1178954.0,131037.0,54618.0,2435.0,368510.0,663376.0,271981.0,43994.0,473792.0,24539.0,17625.0,29889.0
9,764386.0,545291.0,33639.0,5512.0,33292.0,214392.0,110456.0,25673.0,6365.0,49104.0,607.0,5657.0,44172.0,228267.0,249700.0,40365.0,1189.0,464105.0,253028.0,164773.0,6984.0,108843.0,13043.0,149525.0,2548.0
10,59599.0,213251.0,5493.0,1019.0,13162.0,100920.0,92349.0,3894.0,2154.0,16988.0,510.0,9611.0,91599.0,173571.0,174151.0,131729.0,5077.0,238553.0,564906.0,190447.0,3250.0,29642.0,16659.0,24585.0,899.0
11,182663.0,150746.0,2912.0,1318.0,4836.0,551728.0,43432.0,7117.0,1124.0,1771.0,8185.0,2130.0,179578.0,736857.0,810569.0,19009.0,2101.0,167748.0,276655.0,196590.0,623.0,15315.0,51065.0,4499.0,172.0
12,126524.0,84353.0,1070.0,296.0,1999.0,1079910.0,31315.0,4197.0,12349.0,3067.0,13775.0,2555.0,56621.0,1056735.0,418786.0,2027.0,1084.0,74247.0,120528.0,69213.0,2718.0,1753.0,1124.0,839.0,267.0
13,180676.0,133137.0,1670.0,188.0,295.0,1342902.0,9723.0,791.0,2166.0,627.0,1325.0,707.0,13311.0,546714.0,301496.0,363.0,312.0,48471.0,199128.0,38243.0,303.0,2667.0,837.0,538.0,111.0
14,207051.0,13769.0,5170.0,1121.0,1129.0,479230.0,3391.0,102.0,194.0,539.0,1378.0,404.0,4368.0,552701.0,452238.0,2506.0,6235.0,22999.0,85218.0,42171.0,296.0,3643.0,700.0,295.0,107.0
15,245277.0,15933.0,2622.0,38.0,124.0,341592.0,8691.0,504.0,50.0,444.0,2219.0,79.0,9679.0,902261.0,583317.0,6443.0,2557.0,39210.0,37414.0,17157.0,82.0,2234.0,2047.0,,
16,277522.0,13867.0,1351.0,18.0,721.0,148347.0,2108.0,104.0,51.0,703.0,1675.0,182.0,13635.0,656542.0,886841.0,986.0,,,,24347.0,114.0,,,344.0,261.0
17,266482.0,21237.0,2042.0,28.0,495.0,133516.0,3935.0,30.0,865.0,1127.0,6511.0,195.0,16740.0,826913.0,883449.0,759.0,20.0,10245.0,27988.0,26678.0,435.0,,,604.0,2393.0
18,316963.0,13939.0,1900.0,146.0,698.0,80444.0,4768.0,139.0,162.0,2508.0,7423.0,1601.0,10559.0,622051.0,163735.0,2758.0,70.0,24463.0,70302.0,15832.0,211.0,2197.0,7980.0,843.0,3054.0
19,329554.0,10630.0,1745.0,66.0,202.0,72445.0,6187.0,36.0,547.0,279.0,9752.0,1106.0,13961.0,436391.0,245950.0,,,16169.0,43607.0,6312.0,46.0,1364.0,280.0,,
20,,,,,,,,,,,1145.0,,,,,1057.0,1442.0,8869.0,42070.0,,,2616.0,1425.0,,
21,440188.0,26178.0,2782.0,75.0,104.0,103688.0,4531.0,157.0,62.0,325.0,,1156.0,7470.0,177814.0,147690.0,940.0,333.0,,,22899.0,57.0,,,46.0,1470.0
22,407134.0,17265.0,916.0,30.0,136.0,77482.0,4793.0,207.0,58.0,873.0,10472.0,104.0,6485.0,296550.0,238031.0,1047.0,569.0,19641.0,9587.0,27633.0,232.0,7040.0,1078.0,400.0,1421.0
23,275976.0,13367.0,1419.0,30.0,386.0,76115.0,10588.0,169.0,36.0,77.0,4715.0,,,442491.0,234104.0,1350.0,2158.0,8660.0,6802.0,44327.0,72.0,777815.0,1106.0,668.0,825.0
24,166937.0,5470.0,506.0,,,69630.0,855.0,134.0,,,,390.0,25137.0,426542.0,278225.0,1218.0,901.0,7834.0,6567.0,24168.0,30.0,102535.0,909.0,999.0,920.0
25,,,,18.0,493.0,,,,848.0,139.0,30.0,1024.0,17688.0,,,,,,,,,,,,
